,index,Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
452,809,c5.xlarge, Linux/UNIX,46,407,762.7361000000003,392.37699999999876,0,0,370.3591000000016
453,224,i3.2xlarge, Linux/UNIX,30,407,2197.6811,1830.056599999996,0,0,367.624500000004
454,235,i3.2xlarge, SUSE Linux,22,407,3174.481100000003,2806.8566000000187,0,0,367.6244999999845
455,805,c5.xlarge, Red Hat Enterprise Linux,35,327,1152.4522,787.0768999999991,0,0,365.37530000000083
456,501,r3.2xlarge, SUSE Linux,32,407,2346.108299999998,1998.4445,0,0,347.663799999998
457,193,c5n.xlarge, Red Hat Enterprise Linux,6,323,1109.9104999999997,763.163299999997,0,0,346.74720000000275
458,673,c5d.2xlarge, SUSE Linux,37,407,2331.8587000000016,1985.8705999999884,0,0,345.9881000000132
459,759,m5ad.xlarge, Red Hat Enterprise Linux,11,323,1127.9430000000002,782.9853000000015,0,0,344.9576999999987
460,782,x1e.2xlarge, Linux/UNIX,6,406,5220.085600000008,4875.157300000004,16,0,344.9283000000041
461,459,x1e.2xlarge, SUSE Linux,6,406,6194.485599999985,5849.557299999984,15,0,344.9283000000014
462,461,x1e.2xlarge, Red Hat Enterprise Linux,6,323,5231.048800000031,4886.120500000036,15,0,344.92829999999594
463,530,c3.8xlarge, SUSE Linux,1,321,4555.974300000009,4216.060799999981,0,0,339.9135000000278
464,521,c3.8xlarge, Linux/UNIX,1,321,3785.57430000001,3445.660800000022,0,0,339.91349999998835
465,751,m5ad.large, Windows,10,400,1418.818799999982,1083.2383999999984,119,0,335.5803999999837
466,173,m4.xlarge, Linux/UNIX,55,407,721.5734000000008,388.72189999999983,63,0,332.85150000000095
467,807,r3.xlarge, Red Hat Enterprise Linux,23,327,1109.9125000000008,777.9710000000048,0,0,331.9414999999961
468,419,z1d.2xlarge, Linux/UNIX,13,407,2507.764200000006,2175.912800000007,31,0,331.8513999999991
469,182,c5n.xlarge, Linux/UNIX,12,407,709.7508000000006,378.38799999999964,19,0,331.362800000001
470,548,r5a.xlarge, Linux/UNIX,27,407,743.5953,415.7401999999978,0,0,327.85510000000215
471,932,z1d.2xlarge, SUSE Linux,11,407,3584.414200000017,3256.867600000015,29,0,327.54660000000194
472,616,z1d.2xlarge, Windows,8,407,6096.685199999966,5770.31689999997,24,0,326.36829999999736
473,995,r5n.4xlarge, Linux/UNIX,2,202,1136.5210999999972,810.9123999999957,27,0,325.60870000000136
474,994,r5n.4xlarge, Red Hat Enterprise Linux,2,202,1766.7611000000006,1441.1524000000027,24,0,325.60869999999795
475,637,m5d.xlarge, Linux/UNIX,31,407,722.8188999999958,398.6348000000029,7,0,324.18409999999267
476,337,r4.xlarge, SUSE Linux,28,407,1828.0491,1510.785999999996,3,0,317.263100000004
477,694,r3.xlarge, Windows,4,321,2101.442700000011,1785.1176000000085,0,0,316.3251000000025
478,1023,g3s.xlarge, Red Hat Enterprise Linux,17,323,2537.1074000000062,2222.6830999999947,0,0,314.42430000001104
479,614,c4.2xlarge, SUSE Linux,57,407,2259.160699999996,1946.5639,0,0,312.5967999999957
480,222,r4.xlarge, Red Hat Enterprise Linux,10,327,1146.0945999999967,834.5573999999992,0,0,311.53719999999737
481,434,c4.xlarge, Red Hat Enterprise Linux,28,327,1080.6696000000022,769.5856999999993,0,0,311.08390000000287
482,404,m5d.2xlarge, SUSE Linux,42,407,2356.267699999997,2045.4328000000016,0,0,310.8348999999953
483,466,x1e.2xlarge, Windows,6,406,8771.15799999997,8460.805799999966,13,0,310.352200000003
484,91,t3a.2xlarge, Red Hat Enterprise Linux,2,323,1886.0615999999848,1581.323399999992,0,0,304.73819999999273
485,234,r5.xlarge, Linux/UNIX,107,407,728.7087000000006,424.611299999999,0,0,304.09740000000164
486,885,m5a.2xlarge, SUSE Linux,33,407,2458.135300000001,2155.226800000004,0,0,302.90849999999637
487,436,c4.xlarge, Linux/UNIX,29,407,671.4395000000022,368.57239999999916,0,0,302.8671000000032
488,327,m3.2xlarge, Windows,5,321,4157.417900000008,3856.361300000019,0,0,301.0565999999885
489,170,m4.xlarge, Red Hat Enterprise Linux,43,327,1087.7523000000012,788.4427999999975,0,0,299.30950000000365
490,316,m3.2xlarge, Red Hat Enterprise Linux,14,327,2239.8192000000026,1947.1206000000054,0,0,292.6985999999968
491,1016,r5dn.xlarge, Windows,1,202,1382.4867000000024,1094.9351000000042,41,0,287.5515999999982
492,804,c5d.xlarge, Linux/UNIX,15,406,665.6879000000015,378.9554999999978,0,0,286.7324000000036
493,875,m5ad.xlarge, SUSE Linux,16,400,1820.9034999999985,1534.7455000000002,33,0,286.15799999999814
