Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
r5.xlarge, Linux/UNIX, 107, 407, 728.7087000000006, 424.611299999999, 0, 0, 304.0974000000016
i3.2xlarge, SUSE Linux, 22, 407, 3174.481100000003, 2806.8566000000187, 0, 0, 367.62449999998444
t3.micro, Windows, 0, 407, 120.14639999999908, 120.14639999999908, 0, 0, 0.0
i3en.metal, Windows, 2, 226, 73728.19079999976, 41545.97159999989, 138, 0, 32182.219199999876
i3.2xlarge, Red Hat Enterprise Linux, 21, 327, 3620.5277000000137, 2503.5820000000062, 0, 0, 1116.9457000000075
i3en.12xlarge, Linux/UNIX, 5, 357, 15648.911300000102, 14096.468299999957, 3, 0, 1552.4430000001448
i3en.3xlarge, Linux/UNIX, 6, 357, 3608.637899999991, 3485.4623999999894, 9, 0, 123.17550000000165
t3.medium, Linux/UNIX, 0, 407, 122.0999999999992, 122.0999999999992, 0, 0, 0.0
t3.medium, Red Hat Enterprise Linux, 2, 326, 627.4848000000013, 567.873600000002, 0, 0, 59.61119999999926
i3.xlarge, Windows, 1, 406, 2704.9344000000087, 2704.9344000000087, 0, 0, 0.0
